product,price,conversion_rate
product-A,1,0.3
product-A,1.1,0.285368827
product-A,1.2,0.271451225
product-A,1.3,0.258212393
product-A,1.4,0.245619226
product-A,1.5,0.233640235
product-A,1.6,0.222245466
product-A,1.7,0.211406427
product-A,1.8,0.201096014
product-A,1.9,0.191288445
product-A,2,0.181959198
product-A,2.1,0.173084943
product-A,2.2,0.164643491
product-A,2.3,0.156613733
product-A,2.4,0.148975591
product-A,2.5,0.141709966
product-A,2.6,0.134798689
product-A,2.7,0.12822448
product-A,2.8,0.121970898
product-A,2.9,0.116022307
product-A,3,0.110363832
product-A,3.1,0.104981325
product-A,3.2,0.099861325
product-A,3.3,0.094991031
product-A,3.4,0.090358264
product-A,3.5,0.085951439
product-A,3.6,0.081759538
product-A,3.7,0.077772078
product-A,3.8,0.073979089
product-A,3.9,0.070371086
product-A,4,0.066939048
product-A,4.1,0.063674392
product-A,4.2,0.060568955
product-A,4.3,0.057614973
product-A,4.4,0.054805057
product-A,4.5,0.052132183
product-A,4.6,0.049589666
product-A,4.7,0.04717115
product-A,4.8,0.044870586
product-A,4.9,0.042682221
product-A,5,0.040600585
product-B,1,0.405519997
product-B,1.1,0.378104339
product-B,1.2,0.352542149
product-B,1.3,0.328708121
product-B,1.4,0.30648542
product-B,1.5,0.285765112
product-B,1.6,0.266445624
product-B,1.7,0.248432253
product-B,1.8,0.231636698
product-B,1.9,0.215976625
product-B,2,0.201375271
product-B,2.1,0.187761058
product-B,2.2,0.17506725
product-B,2.3,0.163231622
product-B,2.4,0.152196156
product-B,2.5,0.141906755
product-B,2.6,0.132312981
product-B,2.7,0.123367806
product-B,2.8,0.11502738
product-B,2.9,0.107250818
product-B,3,0.1
product-B,3.1,0.093239382
product-B,3.2,0.086935824
product-B,3.3,0.081058425
product-B,3.4,0.075578374
product-B,3.5,0.070468809
product-B,3.6,0.065704682
product-B,3.7,0.061262639
product-B,3.8,0.057120906
product-B,3.9,0.05325918
product-B,4,0.04965853
product-B,4.1,0.046301307
product-B,4.2,0.043171052
product-B,4.3,0.040252422
product-B,4.4,0.03753111
product-B,4.5,0.034993775
product-B,4.6,0.032627979
product-B,4.7,0.030422126
product-B,4.8,0.028365403
product-B,4.9,0.026447726
product-B,5,0.024659696
product-C,1,0.408308496
product-C,1.1,0.354966353
product-C,1.2,0.308592922
product-C,1.3,0.268277799
product-C,1.4,0.233229514
product-C,1.5,0.202759998
product-C,1.6,0.176271074
product-C,1.7,0.15324271
product-C,1.8,0.133222812
product-C,1.9,0.115818349
product-C,2,0.100687635
product-C,2.1,0.087533625
product-C,2.2,0.076098078
product-C,2.3,0.066156491
product-C,2.4,0.05751369
product-C,2.5,0.05
product-C,2.6,0.043467912
product-C,2.7,0.037789187
product-C,2.8,0.032852341
product-C,2.9,0.028560453
product-C,3,0.024829265
product-C,3.1,0.021585526
product-C,3.2,0.018765555
product-C,3.3,0.01631399
product-C,3.4,0.014182701
product-C,3.5,0.012329848
product-C,3.6,0.010719055
product-C,3.7,0.009318699
product-C,3.8,0.008101288
product-C,3.9,0.007042921
product-C,4,0.006122821
product-C,4.1,0.005322925
product-C,4.2,0.004627529
product-C,4.3,0.00402298
product-C,4.4,0.003497411
product-C,4.5,0.003040503
product-C,4.6,0.002643286
product-C,4.7,0.002297963
product-C,4.8,0.001997753
product-C,4.9,0.001736763
product-C,5,0.001509869
